day,name,time,duration,type
Monday,bootcamp,7:00,30,
,re-balance,7:30,30,
,"legs, bums and tums",12:30,30,
,fit cycle,17:30,30,
,yoga,18:00,60,
,circuits,18:15,30,
,dance fit,19:00,60,
,abs blast,19:00,20,
Tuesday,bootcamp,7:00,45,
,sgt-machine based circuit strength,8:00,30,
,sgt ladies who lift,12:30,30,
,circuits,18:15,30,
,abs blast,19:00,20,
Wednesday,,,,
Thursday,bootcamp,7:00,30,
,sgt-machine based circuit strength,8:00,30,
,yoga,18:00,60,
,circuits,18:15,30,
,fit pump,19:15,30,
Friday,fit cycle,7:00,30,
,bootcamp,7:30,30,
,functional female fitness,12:30,30,
,fit cycle,16:30,30,
,re-balance,17:30,30,
,"legs, bums and tums",18:15,30,
Saturday,circuits,11:00,30,
,"legs, bums and tums",13:00,30,
Sunday,circuits,14:30,30,
