day,name,time,duration,type
Monday,cycle fit,6:30,45,
,zumba,9:15,60,
,cycle fit,9:15,45,
,yoga,10:30,45,
,cycle fit,17:45,45,
,hiit,17:45:00,30,
,bodypump,18:45,45,
Tuesday,bodypump,9:30,60,
,bodycombat,10:45,30,
,bootcamp,17:30,45,
,cycle fit,10:30,45,
,kettlebells,18:00,30,
Wednesday,cycle fit,6:30,45,
,bodycombat,10:15,45,
,bootcamp,17:30,30,
,bodycombat,17:30,60,
Thursday,cycle fit,9:30,45,
,bootcamp,10:00,30,
,yoga,10:30,45,
,bootcamp,17:00,30,
,hiit,17:30,30,
,cycle fit,17:45,30,
,lbt ladies,18:30,45,
Friday,bodycombat,9:30,45,
,bodypump,10:30,45,
,cycle fit,17:00,45,
Saturday,cycle fit,8:45,45,
,bodycombat,9:45,60,
,bodypump,11:00,60,
Sunday,yoga,10:30,60,
