day,name,time,duration,type
Monday,body conditioning,9:00,60,
,"legs, bums and tums",10:15,60,
,circuit training basics,11:15,60,
,tai chi basics,12:15,60,
,step aerobics ,17:15,60,
,hiit,19:00,60,
Tuesday,group cycle ,9:00,45,
,step aerobics ,10:00,60,
,pilates,11:00,60,
,group cycle ,17:00,60,
,zumba,18:00,60,
,combat,20:00,60,
Wednesday,hiit,9:30,60,
Thursday,power pump,11:15,60,
,group cycle ,12:30,45,
,circuit training basics,12:30,60,
,tai chi basics,13:30,60,
,"legs, bums and tums",20:00,60,
Friday,step aerobics ,10:00,60,
,body conditioning,11:00,60,
,yoga,17:00,60,
,yoga,18:00,60,
,circuit training,18:00,60,
Saturday,group cycle ,8:30,45,
,power pump,9:30,60,
,yoga,11:00,60,
Sunday,group cycle ,9:30,45,
,hiit,10:30,60,
,combat,12:30,60,
