day,name,time,duration,type
Monday,bootcamp,6:30,30,
,jd burn,7:30,30,
,abs,10:15,15,
,gym induction,12:00,30,
,jd burn,17:00,30,
,spin,17:30,45,
,les mills body pump,18:00,45,
,gym induction,18:00,30,
,spin,18:30,45,
Tuesday,jd burn,7:30,30,
,gym induction,10:30,30,
,gym induction,12:00,30,
,x-fit,12:30,30,
,jd burn,17:00,30,
,spin,17:30,45,
,pilates,17:30,45,
,abs,18:15,15,
,spin,18:30,45,
,turn'd up fitness,18:30,60,
Wednesday,bootcamp,6:30,30,
,jd burn,7:30,30,
,abs,10:15,15,
,gym induction,12:00,30,
,boxfit,12:30,30,
,jd burn,17:00,30,
,spin,17:30,45,
,gym induction,18:00,30,
,spin,18:30,45,
,yoga,19:00,45,
Thursday,jd burn,7:30,30,
,gym induction,10:30,30,
,gym induction,12:00,30,
,x-fit,12:30,30,
,jd burn,17:00,30,
,turn'd up fitness,17:30,60,
,spin,17:30,45,
,yoga,18:30,45,
Friday,bootcamp,6:30,30,
,jd burn,7:30,30,
,gym induction,12:00,30,
,x-fit,12:30,30,
,jd burn,17:00,30,
,gym induction,18:00,30,
,yoga,18:45,45,
Saturday,gym induction,12:00,30,
Sunday,gym induction,12:00,30,
,yoga,18:30,45,
