day,name,time,duration,type
Monday,pilates (women's only),9:30,60,
,strength and conditioning,10:30,45,
,boxmaster,12:00,45,
,spin,17:45,45,
,bollywood dance (women only),18:45,60,
Tuesday,group fight (women only),9:30,60,
,boxmaster,10:45,45,
,boxmaster,12:15,30,
,spin,17:45,45,
,strength and conditioning,18:30,60,
,boxmaster (women only),19:00,45,
Wednesday,yoga (women only),9:30,60,
,box fit (women only),11:00,45,
,strength studio (women only),14:00,45,
,boxmaster,17:30,45,
,pilates ,18:00,60,
,fit45,18:15,45,
,zumba (women only),19:15,60,
Thursday,pilates (women's only),9:30,60,
,group fight (women only),11:00,60,
,circuits,12:30,45,
,boxmaster (women only),18:45,45,
Friday,conditioning class (women only),9:15,45,
,spin (women only),10:15,45,
,strength and balance (L),11:00,60,
,strength and conditioning,12:30,45,
,fit45,16:15,45,
,yoga,17:00,60,
Saturday,yoga (women only),9:15,60,
,spintone,10:15,45,
,group fight (women only),11:00,60,
,boxmaster,11:00,45,
Sunday,OMNIA,9:30,45,
,spin (women only),10:00,45,
,cardio hiit,10:15,45,
,strength studio (women only),11:00,45,
,beginner strength (women only),14:00,45,
