day,name,time,duration,type
Monday,hiit,6:15,45,
,pilates ,9:30,60,
,circuit training basics,11:00,60,
,body conditioning ,17:45,45,
,group cycle ,18:45,45,
Tuesday,circuit training,6:15,45,
,yoga,9:30,60,
,group cycle ,17:45,45,
,body conditioning ,18:45,45,
,yoga,19:45,60,
Wednesday,group cycle ,6:15,45,
,hiit,9:30,30,
,pilates ,9:30,60,
,circuit training basics,11:00,60,
,circuit training basics,12:30,60,
,circuit training,17:45,45,
,zumba,18:30,60,
,group cycle ,18:30,45,
Thursday,circuit training,6:15,45,
,body conditioning ,9:30,60,
,group cycle ,17:45,45,
,yoga,19:00,60,
Friday,group cycle ,6:15,45,
,circuit training,9:30,60,
,pilates ,9:30,60,
,circuit training basics,12:00,60,
,dance fitness ,18:30,60,
Saturday,group cycle ,8:15,45,
,yoga,9:00,60,
,body conditioning ,9:15,45,
,step aerobics,10:15,45,
Sunday,,,,
